feature_name,model_mode
batch_weight_ton,Mode_B_PreBatch_Recommendation
weight_pct_solid_elastomer,Mode_B_PreBatch_Recommendation
weight_pct_natural_rubber,Mode_B_PreBatch_Recommendation
weight_pct_silica,Mode_B_PreBatch_Recommendation
weight_pct_oil,Mode_B_PreBatch_Recommendation
weight_pct_silian,Mode_B_PreBatch_Recommendation
weight_pct_carbon_black,Mode_B_PreBatch_Recommendation
silica_phr,Mode_B_PreBatch_Recommendation
supplier_rubber_viscosity_avg,Mode_B_PreBatch_Recommendation
supplier_silica_surface_area_avg,Mode_B_PreBatch_Recommendation
supplier_carbon_black_structure_avg,Mode_B_PreBatch_Recommendation
Stage2_DryMixing_Duration,Mode_B_PreBatch_Recommendation
Stage4_WetMixing_Duration,Mode_B_PreBatch_Recommendation
Stage5_PID_Duration,Mode_B_PreBatch_Recommendation
Stage6_BottomMixing_Duration,Mode_B_PreBatch_Recommendation
Target_Temperature,Mode_B_PreBatch_Recommendation
Top_Fill_Factor,Mode_B_PreBatch_Recommendation
MixerLine=MB02,Mode_B_PreBatch_Recommendation
MixerLine=MB03,Mode_B_PreBatch_Recommendation
MixerLine=ML05,Mode_B_PreBatch_Recommendation
MixerLine=ML07,Mode_B_PreBatch_Recommendation
MixerLine=ML09,Mode_B_PreBatch_Recommendation
MixerLine=ML10,Mode_B_PreBatch_Recommendation
material_system=CarbonBlack,Mode_B_PreBatch_Recommendation
material_system=Silica,Mode_B_PreBatch_Recommendation
phase_route=NoOilDry,Mode_B_PreBatch_Recommendation
phase_route=OilWet,Mode_B_PreBatch_Recommendation
